job_title,level,salary,location,skills,source
DevOps Engineer,Senior,45 triệu,Ho Chi Minh,"JavaScript, GCP, Kubernetes, Python",Sample data for demo purposes
QA Engineer,Manager,70 triệu,Hanoi,"React, AWS, Kubernetes, SQL, Deep Learning",Sample data for demo purposes
Fullstack Developer,Senior,60 triệu,Hanoi,"Java, GCP, Azure, React",Sample data for demo purposes
Software Engineer,Senior,65 triệu,Ho Chi Minh,"React, NoSQL, Node.js",Sample data for demo purposes
Mobile Developer,Junior,13 triệu,Hanoi,"Kubernetes, Node.js, JavaScript",Sample data for demo purposes
Fullstack Developer,Junior,16 triệu,Hanoi,"Kubernetes, NoSQL",Sample data for demo purposes
Data Scientist,Junior,9 triệu,Hanoi,"JavaScript, Docker, Java, Node.js",Sample data for demo purposes
Software Engineer,Senior,60 triệu,Hanoi,"Python, NoSQL",Sample data for demo purposes
Data Analyst,Mid-level,35 triệu,Ho Chi Minh,"Kubernetes, NoSQL, Deep Learning, Docker",Sample data for demo purposes
Project Manager,Lead,80 triệu,Hanoi,"JavaScript, GCP",Sample data for demo purposes
QA Engineer,Junior,25 triệu,Ho Chi Minh,"Kubernetes, SQL, Machine Learning, Deep Learning, Python",Sample data for demo purposes
DevOps Engineer,Junior,18 triệu,Ho Chi Minh,"GCP, SQL, Python, Deep Learning",Sample data for demo purposes
Product Manager,Junior,12 triệu,Da Nang,"SQL, Docker, Python, AWS, JavaScript",Sample data for demo purposes
Data Scientist,Manager,145 triệu,Da Nang,"React, SQL",Sample data for demo purposes
Product Manager,Senior,70 triệu,Ho Chi Minh,"React, AWS, Docker, JavaScript",Sample data for demo purposes
Mobile Developer,Manager,75 triệu,Ho Chi Minh,"Java, Kubernetes, SQL, Machine Learning, NoSQL",Sample data for demo purposes
Backend Developer,Manager,90 triệu,Ho Chi Minh,"SQL, AWS, React, Java, Machine Learning",Sample data for demo purposes
Backend Developer,Senior,55 triệu,Hanoi,"Docker, JavaScript",Sample data for demo purposes
Product Manager,Junior,13 triệu,Ho Chi Minh,"Python, Kubernetes, React, JavaScript, Deep Learning",Sample data for demo purposes
Data Analyst,Senior,50 triệu,Hanoi,"Node.js, JavaScript",Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Ho Chi Minh,"GCP, Java",Sample data for demo purposes
Project Manager,Mid-level,45 triệu,Hanoi,"NoSQL, Python",Sample data for demo purposes
Project Manager,Intern,9 triệu,Ho Chi Minh,"Java, GCP",Sample data for demo purposes
Mobile Developer,Manager,135 triệu,Ho Chi Minh,"Node.js, SQL, Azure",Sample data for demo purposes
Frontend Developer,Mid-level,40 triệu,Hanoi,"Python, React, GCP, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,55 triệu,Ho Chi Minh,"Azure, Java, Docker, Python, SQL",Sample data for demo purposes
Data Scientist,Mid-level,35 triệu,Ho Chi Minh,"GCP, Node.js",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Hanoi,"Machine Learning, React, JavaScript, Python",Sample data for demo purposes
Product Manager,Senior,55 triệu,Hanoi,"Node.js, GCP, Azure, SQL, Docker",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Ho Chi Minh,"GCP, Java, NoSQL, Azure, Kubernetes",Sample data for demo purposes
Data Analyst,Mid-level,30 triệu,Others,"Machine Learning, Java, AWS, Python, Deep Learning",Sample data for demo purposes
Backend Developer,Senior,55 triệu,Hanoi,"NoSQL, Python, JavaScript, Kubernetes",Sample data for demo purposes
Frontend Developer,Mid-level,30 triệu,Hanoi,"Machine Learning, Java, React",Sample data for demo purposes
Project Manager,Senior,45 triệu,Ho Chi Minh,"React, Azure, SQL, Docker, Node.js",Sample data for demo purposes
Data Scientist,Mid-level,30 triệu,Others,"Azure, SQL, Kubernetes, Node.js, Python",Sample data for demo purposes
QA Engineer,Junior,19 triệu,Da Nang,"Deep Learning, GCP, Kubernetes, Docker",Sample data for demo purposes
Frontend Developer,Mid-level,30 triệu,Ho Chi Minh,"Python, React",Sample data for demo purposes
Business Analyst,Mid-level,40 triệu,Ho Chi Minh,"SQL, Azure, Kubernetes, Deep Learning",Sample data for demo purposes
Product Manager,Mid-level,25 triệu,Ho Chi Minh,"AWS, Azure",Sample data for demo purposes
Fullstack Developer,Mid-level,35 triệu,Ho Chi Minh,"Java, SQL, NoSQL",Sample data for demo purposes
Backend Developer,Junior,20 triệu,Ho Chi Minh,"GCP, SQL",Sample data for demo purposes
Project Manager,Mid-level,30 triệu,Remote,"Docker, AWS",Sample data for demo purposes
Backend Developer,Junior,25 triệu,Ho Chi Minh,"Deep Learning, GCP, Java, NoSQL",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Hanoi,"Kubernetes, React, Docker",Sample data for demo purposes
Mobile Developer,Senior,65 triệu,Hanoi,"Azure, React, Machine Learning, AWS, NoSQL",Sample data for demo purposes
Data Analyst,Mid-level,40 triệu,Ho Chi Minh,"JavaScript, Machine Learning, GCP",Sample data for demo purposes
Project Manager,Lead,75 triệu,Ho Chi Minh,"NoSQL, AWS, Node.js",Sample data for demo purposes
Data Scientist,Mid-level,35 triệu,Da Nang,"Azure, Kubernetes, Deep Learning, Docker, Node.js",Sample data for demo purposes
Mobile Developer,Junior,20 triệu,Ho Chi Minh,"SQL, NoSQL, GCP, Java",Sample data for demo purposes
Fullstack Developer,Mid-level,45 triệu,Da Nang,"Azure, Java",Sample data for demo purposes
Backend Developer,Mid-level,45 triệu,Hanoi,"NoSQL, JavaScript, Java, AWS",Sample data for demo purposes
DevOps Engineer,Senior,60 triệu,Others,"GCP, Kubernetes, Python, Azure",Sample data for demo purposes
Data Scientist,Senior,60 triệu,Hanoi,"Machine Learning, SQL, React",Sample data for demo purposes
Software Engineer,Junior,25 triệu,Ho Chi Minh,"NoSQL, AWS",Sample data for demo purposes
DevOps Engineer,Junior,19 triệu,Ho Chi Minh,"Azure, Docker, Kubernetes, Deep Learning, Node.js",Sample data for demo purposes
DevOps Engineer,Lead,80 triệu,Ho Chi Minh,"Deep Learning, Python",Sample data for demo purposes
Frontend Developer,Mid-level,30 triệu,Ho Chi Minh,"AWS, JavaScript, SQL",Sample data for demo purposes
Product Manager,Mid-level,40 triệu,Ho Chi Minh,"Java, Node.js, Azure, Deep Learning",Sample data for demo purposes
Business Analyst,Manager,70 triệu,Ho Chi Minh,"AWS, React, JavaScript, Kubernetes",Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Ho Chi Minh,"React, Java, Deep Learning",Sample data for demo purposes
Data Analyst,Mid-level,30 triệu,Ho Chi Minh,"Azure, Node.js, GCP, AWS, Machine Learning",Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Ho Chi Minh,"GCP, Python, Kubernetes",Sample data for demo purposes
Mobile Developer,Junior,18 triệu,Ho Chi Minh,"AWS, Java, JavaScript",Sample data for demo purposes
Data Analyst,Junior,17 triệu,Hanoi,"React, SQL, Python, Azure",Sample data for demo purposes
Data Scientist,Senior,75 triệu,Hanoi,"Java, GCP",Sample data for demo purposes
Backend Developer,Senior,40 triệu,Hanoi,"NoSQL, Java, Azure, Machine Learning, Python",Sample data for demo purposes
Product Manager,Senior,50 triệu,Ho Chi Minh,"NoSQL, Deep Learning, React, SQL",Sample data for demo purposes
QA Engineer,Lead,70 triệu,Hanoi,"Java, Python",Sample data for demo purposes
QA Engineer,Senior,55 triệu,Ho Chi Minh,"NoSQL, Deep Learning, AWS",Sample data for demo purposes
DevOps Engineer,Manager,120 triệu,Ho Chi Minh,"AWS, JavaScript, GCP, Deep Learning",Sample data for demo purposes
DevOps Engineer,Junior,18 triệu,Da Nang,"Deep Learning, Azure, AWS, Python",Sample data for demo purposes
Fullstack Developer,Senior,70 triệu,Ho Chi Minh,"GCP, Azure, Deep Learning, React, Python",Sample data for demo purposes
QA Engineer,Mid-level,30 triệu,Ho Chi Minh,"React, Python",Sample data for demo purposes
Software Engineer,Manager,145 triệu,Da Nang,"Deep Learning, React, Python",Sample data for demo purposes
Mobile Developer,Senior,65 triệu,Ho Chi Minh,"Machine Learning, SQL, Kubernetes",Sample data for demo purposes
Backend Developer,Intern,10 triệu,Hanoi,"Deep Learning, Node.js, AWS, Azure, Machine Learning",Sample data for demo purposes
DevOps Engineer,Junior,18 triệu,Ho Chi Minh,"Kubernetes, SQL",Sample data for demo purposes
Backend Developer,Mid-level,25 triệu,Ho Chi Minh,"Machine Learning, SQL, Docker, AWS",Sample data for demo purposes
Software Engineer,Junior,20 triệu,Ho Chi Minh,"Java, React, Python",Sample data for demo purposes
Business Analyst,Junior,18 triệu,Hanoi,"React, SQL, NoSQL, Machine Learning",Sample data for demo purposes
Frontend Developer,Senior,35 triệu,Ho Chi Minh,"Azure, GCP, SQL, Kubernetes, NoSQL",Sample data for demo purposes
Data Analyst,Mid-level,25 triệu,Ho Chi Minh,"Kubernetes, Java, NoSQL, React, Azure",Sample data for demo purposes
Business Analyst,Junior,20 triệu,Ho Chi Minh,"Kubernetes, NoSQL, Machine Learning, GCP, Node.js",Sample data for demo purposes
Mobile Developer,Senior,50 triệu,Hanoi,"GCP, Python, SQL",Sample data for demo purposes
QA Engineer,Senior,40 triệu,Hanoi,"Python, Deep Learning, Java, AWS",Sample data for demo purposes
Mobile Developer,Mid-level,30 triệu,Hanoi,"Kubernetes, JavaScript, React, SQL",Sample data for demo purposes
Data Analyst,Junior,10 triệu,Ho Chi Minh,"GCP, JavaScript, React, Azure, Java",Sample data for demo purposes
Mobile Developer,Mid-level,35 triệu,Hanoi,"Deep Learning, Python, SQL, Machine Learning, JavaScript",Sample data for demo purposes
Project Manager,Junior,8 triệu,Ho Chi Minh,"Docker, Kubernetes",Sample data for demo purposes
Data Analyst,Senior,55 triệu,Hanoi,"Machine Learning, React, Azure",Sample data for demo purposes
Product Manager,Intern,11 triệu,Ho Chi Minh,"AWS, React, Machine Learning, NoSQL, Kubernetes",Sample data for demo purposes
Business Analyst,Mid-level,35 triệu,Ho Chi Minh,"Java, AWS, GCP",Sample data for demo purposes
Software Engineer,Mid-level,35 triệu,Da Nang,"Docker, Machine Learning, SQL",Sample data for demo purposes
Data Analyst,Junior,13 triệu,Ho Chi Minh,"SQL, Java, JavaScript",Sample data for demo purposes
Frontend Developer,Mid-level,25 triệu,Others,"Java, Machine Learning, AWS, Node.js",Sample data for demo purposes
Product Manager,Mid-level,35 triệu,Ho Chi Minh,"GCP, AWS, React",Sample data for demo purposes
DevOps Engineer,Mid-level,30 triệu,Ho Chi Minh,"Node.js, Python, JavaScript, GCP",Sample data for demo purposes
Frontend Developer,Lead,75 triệu,Hanoi,"Docker, GCP, Deep Learning, NoSQL, Python",Sample data for demo purposes
DevOps Engineer,Mid-level,45 triệu,Hanoi,"Node.js, Python",Sample data for demo purposes
Product Manager,Junior,20 triệu,Others,"NoSQL, Deep Learning, Java, React, JavaScript",Sample data for demo purposes
Data Scientist,Intern,10 triệu,Da Nang,"Azure, Node.js, JavaScript, Java, Deep Learning",Sample data for demo purposes
QA Engineer,Mid-level,40 triệu,Hanoi,"Python, React",Sample data for demo purposes
Frontend Developer,Mid-level,40 triệu,Hanoi,"Kubernetes, Python, Node.js, AWS, React",Sample data for demo purposes
Project Manager,Junior,25 triệu,Ho Chi Minh,"GCP, AWS",Sample data for demo purposes
Software Engineer,Mid-level,40 triệu,Hanoi,"NoSQL, React, Kubernetes, Azure, Docker",Sample data for demo purposes
Business Analyst,Mid-level,25 triệu,Hanoi,"Deep Learning, Node.js, Machine Learning",Sample data for demo purposes
Product Manager,Mid-level,35 triệu,Hanoi,"JavaScript, Kubernetes, Azure",Sample data for demo purposes
Backend Developer,Mid-level,30 triệu,Ho Chi Minh,"JavaScript, GCP, Deep Learning, NoSQL",Sample data for demo purposes
Mobile Developer,Senior,55 triệu,Ho Chi Minh,"Docker, GCP, NoSQL, JavaScript",Sample data for demo purposes
Fullstack Developer,Junior,20 triệu,Hanoi,"Java, Deep Learning",Sample data for demo purposes
Fullstack Developer,Senior,60 triệu,Others,"Docker, Machine Learning, AWS, Kubernetes",Sample data for demo purposes
Business Analyst,Mid-level,30 triệu,Hanoi,"Python, Kubernetes",Sample data for demo purposes
